sounds,files,words,correct_answer,training,practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome_animation.started,welcome_animation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,instructions.started,instructions.stopped,ISI.started,ISI.stopped,text.started,text.stopped,text_2.started,text_2.stopped,start.started,start.stopped,breaks.started,breaks.stopped,end.started,end.stopped,participant,date,expName,psychopyVersion,frameRate,
stimuli/SC_S2_yu2-p_192ms.wav,SC_S2_yu2-p_192ms.wav,1-迂          2-鱼          3-雨          4-玉,2,Y,0,0,0,3,,,,,,,,,6.735497586000008,None,2,1,6.16755686800002,139.12737202299996,None,138.62409742299997,None,0.00022649999971235957,0.5002264999997124,140.623433192,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_ma3-p_305ms.wav,DW_S1_ma3-p_305ms.wav,1-妈          2-麻          3-马           4-骂,3,Y,0,1,1,1,,,,,,,,,,,3,1,2.9894559680000157,145.82545015199997,None,145.32053975999997,None,0.001719105799963927,0.5017191057999639,147.31961571199997,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_wu4-p_305ms.wav,SC_S2_wu4-p_305ms.wav,1-乌          2-无          3-五          4-物,4,Y,0,2,2,2,,,,,,,,,,,4,1,3.747095117000015,149.339806522,None,148.83480036999998,None,0.0015088442000319446,0.501508844200032,150.83289030599997,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_e1-p_192ms.wav,DW_S1_e1-p_192ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,1,Y,0,3,3,0,,,,,,,,,,,1,1,3.5730101820000186,153.61788497599997,None,153.11268489499997,None,0.0009992179999471773,0.5009992179999472,155.114289632,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_yi3-w_192ms.wav,DW_S2_yi3-w_192ms.wav,1-衣          2-姨          3-椅          4-意,3,None,,,,,0,0,0,52,,,,,,,3,1,34.68024850500001,188.83071248,None,188.327062726,None,0.0008377523997182834,0.5008377523997183,190.32685086599997,None,None,None,157.198655572,None,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_ma2-w_192ms.wav,DW_S1_ma2-w_192ms.wav,1-妈          2-麻          3-马           4-骂,2,None,,,,,0,1,1,74,,,,,,,3,0,2.7192511439999976,224.03165957799996,None,223.52676309499998,None,0.0004501000000232125,0.5004501000000232,225.52909573799997,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_wu2-p_192ms.wav,SC_S2_wu2-p_192ms.wav,1-乌          2-无          3-五          4-物,2,None,,,,,0,2,2,48,,,,,,,2,1,2.7897434690000296,227.273179444,None,226.768558358,None,0.00016995039999301298,0.500169950399993,228.76759194099998,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_yi4-p_192ms.wav,SC_S2_yi4-p_192ms.wav,1-衣          2-姨          3-椅          4-意,4,None,,,,,0,3,3,86,,,,,,,4,1,2.9441548180000154,230.582751003,None,230.07807415999997,None,0.00036202799998363844,0.5003620279999836,232.07697656699997,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_e2-w_192ms.wav,SC_S2_e2-w_192ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,2,None,,,,,0,4,4,138,,,,,,,2,1,7.646239100999992,234.048670221,None,233.54409361899997,None,0.0017596369999637318,0.5017596369999637,235.54165669100001,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_yi2-p_305ms.wav,SC_S2_yi2-p_305ms.wav,1-衣          2-姨          3-椅          4-意,2,None,,,,,0,5,5,123,,,,,,,2,1,2.5994616070000234,242.21545515499997,None,241.710957119,None,0.0006615019999571814,0.5006615019999572,243.712359349,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_wu1-p_192ms.wav,DW_S2_wu1-p_192ms.wav,1-乌          2-无          3-五          4-物,1,None,,,,,0,6,6,49,,,,,,,1,1,2.548095189000037,245.33883054299997,None,244.834321494,None,0.00014445339996882467,0.5001444533999688,246.83626868799996,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_yu1-p_305ms.wav,DW_S1_yu1-p_305ms.wav,1-迂          2-鱼          3-雨          4-玉,1,None,,,,,0,7,7,100,,,,,,,1,1,2.489541341000006,248.40538072599998,None,247.900310579,None,0.0015945459999784362,0.5015945459999784,249.898067824,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_ma4-w_192ms.wav,DW_S2_ma4-w_192ms.wav,1-妈          2-麻          3-马           4-骂,4,None,,,,,0,8,8,14,,,,,,,3,0,2.3588388889999123,251.41614595,None,250.911048284,None,0.0015173540000432695,0.5015173540000433,252.911946597,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_e3-w_192ms.wav,SC_S1_e3-w_192ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,3,None,,,,,0,9,9,117,,,,,,,4,0,3.919271753000089,254.29563455599998,None,253.79076784099993,None,0.0007097039999734989,0.5007097039999735,255.79125393000004,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_ma3-w_305ms.wav,DW_S1_ma3-w_305ms.wav,1-妈          2-麻          3-马           4-骂,3,None,,,,,0,10,10,140,,,,,,,3,1,2.348130748000017,258.73880172500003,None,258.23341038499996,None,0.0009554063999530626,0.5009554063999531,260.23179761899996,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_yu3-p_305ms.wav,SC_S2_yu3-p_305ms.wav,1-迂          2-鱼          3-雨          4-玉,3,None,,,,,0,11,11,62,,,,,,,3,1,2.976314229999957,261.606623455,None,261.10229217899996,None,0.0018644710000899067,0.5018644710000899,263.10188097900004,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_yi3-w_305ms.wav,DW_S1_yi3-w_305ms.wav,1-衣          2-姨          3-椅          4-意,3,None,,,,,0,12,12,115,,,,,,,3,1,2.4306941510000115,265.1042267,None,264.59875214499993,None,0.0006204370000659765,0.500620437000066,266.60123317599994,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_yi3-p_305ms.wav,DW_S2_yi3-p_305ms.wav,1-衣          2-姨          3-椅          4-意,3,None,,,,,0,13,13,11,,,,,,,3,1,1.9245024159999957,268.050394846,None,267.545356236,None,0.0009390587999860145,0.500939058799986,269.54275199799997,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_wu1-w_192ms.wav,DW_S1_wu1-w_192ms.wav,1-乌          2-无          3-五          4-物,1,None,,,,,0,14,14,7,,,,,,,4,0,4.764803185999995,270.498112431,None,269.99345721500003,None,0.0007870533999039253,0.5007870533999039,271.99280204,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_e4-p_192ms.wav,DW_S1_e4-p_192ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,4,None,,,,,0,15,15,126,,,,,,,4,1,3.0447701370000004,275.786184637,None,275.28097765300004,None,5.5848400052127545e-05,0.5000558484000521,277.28232974799994,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_yu1-p_305ms.wav,DW_S2_yu1-p_305ms.wav,1-迂          2-鱼          3-雨          4-玉,1,None,,,,,0,16,16,104,,,,,,,1,1,2.168867334999959,279.35005313700003,None,278.84532451300004,None,0.0014592429999993328,0.5014592429999993,280.844407781,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_wu4-w_192ms.wav,SC_S2_wu4-w_192ms.wav,1-乌          2-无          3-五          4-物,4,None,,,,,0,17,17,43,,,,,,,4,1,2.5077333699999826,282.04317512800003,None,281.53785829699996,None,0.0006383233999258664,0.5006383233999259,283.53698005499996,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_yu1-w_192ms.wav,DW_S2_yu1-w_192ms.wav,1-迂          2-鱼          3-雨          4-玉,1,None,,,,,0,18,18,92,,,,,,,4,0,3.757565332000013,285.07334816,None,284.56793383699994,None,0.0007219074000204273,0.5007219074000204,286.56974196499993,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_wu4-w_305ms.wav,DW_S1_wu4-w_305ms.wav,1-乌          2-无          3-五          4-物,4,None,,,,,0,19,19,152,,,,,,,2,0,2.2626877010000044,289.35223603099996,None,288.847405136,None,0.0006397073999551139,0.5006397073999551,290.847152068,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_yu1-p_192ms.wav,SC_S1_yu1-p_192ms.wav,1-迂          2-鱼          3-雨          4-玉,1,None,,,,,0,20,20,46,,,,,,,1,1,2.3302354060000425,292.132663878,None,291.62788434899994,None,0.00040855040003862086,0.5004085504000386,293.62660325900003,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_yi3-w_192ms.wav,DW_S1_yi3-w_192ms.wav,1-衣          2-姨          3-椅          4-意,3,None,,,,,0,21,21,55,,,,,,,3,1,2.474874906000082,294.988033773,None,294.482039087,None,0.0018425739999656798,0.5018425739999657,296.481393022,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_e2-p_305ms.wav,DW_S2_e2-p_305ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,2,None,,,,,0,22,22,38,,,,,,,2,1,2.205322826999918,297.98560946299995,None,297.48030597799993,None,0.001764090599976953,0.501764090599977,299.48042307799994,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_yi4-p_192ms.wav,DW_S2_yi4-p_192ms.wav,1-衣          2-姨          3-椅          4-意,4,None,,,,,0,23,23,76,,,,,,,4,1,2.8645858800000497,300.71033260900003,None,300.205618039,None,0.00069044700012455,0.5006904470001245,302.20621027899995,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
